palavra;frequencia
RFID;22
and;16
in;15
of;15
The;13
for;12
management;7
An;6
electronic;6
Supply;6
A;5
Brazilian;5
chain;5
systems;5
Using;5
approach;4
case;4
-;3
Application;3
Asset;3
consignment;3
developing;3
experimental;3
identification;3
ready;3
Technology;3
to;3
waste;3
&;2
(RFID);2
(WEEE);2
applied;2
assessment;2
benefits;2
chain:;2
companies;2
Cost;2
Domain;2
electrical;2
engineering;2
environment;2
equipment;2
facilities:;2
frequency;2
harvest;2
implementation;2
industry;2
logistics;2
network;2
packaging;2
passive;2
protocol;2
radio;2
reverse;2
studies;2
system;2
technology:;2
tracking;2
Two;2
Use;2
with;2
5;1
(PNRD);1
adoption;1
adoption:;1
advantage;1
analog;1
analyse;1
analysis;1
analysis:;1
applications;1
authentication;1
automotive;1
Beef;1
BizAgi;1
BPMN;1
cashew;1
cattle;1
characteristics;1
China;1
CMOS;1
communication;1
competitive;1
Conceptual;1
considerations;1
consumer;1
Context,;1
continents;1
Control;1
cryptography;1
database;1
datastore;1
Design;1
development;1
discrete;1
distributed;1
Elementary;1
environments;1
EPC;1
EPCglobal®;1
fit-for-purpose;1
Framework;1
front-end;1
Hunter;1
Hybrid;1
information;1
inside;1
international;1
Internet;1
inventory;1
invoice;1
ITS;1
key;1
large;1
legislation;1
LF;1
Low-frequency;1
Low-Power/Low-Voltage;1
manufacturing;1
Methods;1
million;1
minimization;1
Mobile;1
model;1
mutual;1
net;1
Neural;1
new;1
No-SQL;1
nut;1
optical;1
optimization;1
over;1
overview;1
Petri;1
physical;1
privacy;1
process;1
Real-time;1
receiving;1
resources;1
RFID-Env:;1
Risk;1
sensor;1
services;1
shipping;1
simulation;1
simulator;1
slabs;1
software;1
spectrum;1
status;1
study;1
survey;1
T/A;1
tag;1
that;1
Things;1
three;1
through;1
tradeoffs;1
unified;1
